SKU,Stock
148308,7
148309,8
148310,5
148311,55
148312,34
148313,184
148314,23
148315,28
148319,4
148320,9
148321,4
148323,6
148326,3
148327,3
148333,1
148334,1
148340,1
148341,6
148350,8
148351,8
148352,1
148357,7
148358,7
148359,8
148361,1
148362,6
148363,5
148364,15
148370,1
148371,1
148372,2
148373,2
148400,4
148401,6
148407,3
148408,4
148411,35
148412,24
148413,25
148421,2
148444,2
148445,3
148446,8
148447,6
148448,8
148449,7
148450,1
148452,2
148453,1
148454,9
148455,6
148457,5
148458,2
148460,2
148461,21
148462,19
148463,5
148464,9
148469,2
148470,2
148471,4
148472,3
148474,2
148479,1
148480,1
148513,1
148514,6
148515,16
148516,43
148517,24
148534,1
148536,13
148543,1
148545,6
148546,13
148547,2
148558,2
148561,1
148630,3
148633,117
148653,0
148654,8
148655,0
148663,1
148664,2
148665,0
148683,1
148684,0
148710,200
148711,2
148712,45
148799,60
148800,0
148801,53
148802,5
148803,0
148804,0
148805,0
148807,0
148809,0
148810,0
148811,0
148813,0
148814,0
148816,0
148818,0
148819,0
148820,0
148821,0
148822,0
148823,0
148824,0
148825,0
148827,0
148828,0
148829,0
148830,0
148831,0
148832,1
148833,0
148834,0
148835,0
148836,0
148837,0
148838,0
148874,93
148875,36
148876,31
148877,22
148879,0
148880,9
148882,0
148940,2
148942,0
148943,2
148944,10
148945,14
148947,19
148948,1
148950,10
148951,0
148952,1
148953,10
148961,4
148962,1
148963,2
149010,40
149013,94
149023,1
149031,65
149033,15
149035,14
149036,48
149038,0
149039,0
149041,0
149042,6
149130,19
149134,58
149138,135
149139,66
149140,59
149141,82
149142,66
149143,119
149144,123
149145,16
149189,5
149190,0
149191,5
149192,0
149193,0
149194,0
149195,0
149196,5
149197,0
149208,71
149263,2
149287,0
149317,0
149318,0
149320,0
149321,0
149323,1
149324,0
149325,0
149326,0
149327,0
149328,0
149329,9
149517,49
149518,79
149519,74
149520,100
149521,114
149522,142
149523,139
149524,148
149525,21
149526,27
149527,63
149528,42
149529,42
149530,138
149531,55
149532,48
149554,104
149555,200
149556,200
149557,200
149558,51
149559,124
149560,200
149561,200
149562,31
149563,46
149564,86
149565,71
149566,74
149567,52
149568,71
149569,76
149570,171
149571,13
149572,38
149573,175
149612,0
149623,1
149624,25
149625,24
149626,31
149630,13
149631,17
149632,26
149633,89
149634,33
149635,71
149637,46
149638,22
149639,18
149640,32
149641,2
149642,74
