Variant SKU,Variant Inventory Qty,Variant Command
3067690,161,UPDATE
3068867,162,UPDATE
3069507,162,UPDATE
3069608,45,UPDATE
3069719,16,UPDATE
3069907,162,UPDATE
3070008,45,UPDATE
3070119,16,UPDATE
3076311,1,UPDATE
3076391,1,UPDATE
3076401,0,UPDATE
3077369,15,UPDATE
3079643,16,UPDATE
91606,169,UPDATE
815210,85,UPDATE
44234,179,UPDATE
47282,148,UPDATE
284492,143,UPDATE
807281,146,UPDATE
42792,156,UPDATE
145659,102,UPDATE
134441,167,UPDATE
48526,129,UPDATE
285262,80,UPDATE
92831,39,UPDATE
44964,8,UPDATE
41125,7,UPDATE
811856,153,UPDATE
805851,167,UPDATE
